site,policy,mukey,cokey,compname,comppct_r,thickness_cm,status,reason_codes,horizon_count,interval_sum_cm,interval_union_cm,deepest_bottom_cm
topanga,strict_soil,469823,27419463,Mipolomol,30.0,,unavailable,ambiguous_material,2,55.0,55.0,55.0
topanga,strict_soil,469823,27419464,Sapwi,15.0,96.0,valid,bedrock_excluded,5,121.0,121.0,121.0
topanga,strict_soil,469823,27419465,Topanga,40.0,,unavailable,ambiguous_material,4,69.0,69.0,69.0
topanga,strict_soil,469823,27419466,Pachic Argixerolls,10.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469823,27419467,Typic Argixerolls,3.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469823,27419468,Rock outcrop,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469935,27419570,Typic Xerorthents,8.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469935,27419571,Riverwash,7.0,152.0,valid,,2,152.0,152.0,152.0
topanga,strict_soil,469935,27419572,Botella,85.0,152.0,valid,,2,152.0,152.0,152.0
topanga,strict_soil,469954,27419827,Boades,5.0,,unavailable,ambiguous_material,3,61.0,61.0,61.0
topanga,strict_soil,469954,27419828,Mipolomol,45.0,,unavailable,ambiguous_material,2,55.0,55.0,55.0
topanga,strict_soil,469954,27419829,Topanga,40.0,,unavailable,ambiguous_material,4,70.0,70.0,70.0
topanga,strict_soil,469954,27419830,Pachic Argixerolls,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469954,27419831,Typic Palexerolls,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469954,27419832,Pachic Argixerolls,1.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469954,27419833,Rock outcrop,5.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469961,27419573,Cotharin,85.0,,unavailable,ambiguous_material,4,53.0,53.0,53.0
topanga,strict_soil,469961,27419574,Boades,1.0,,unavailable,ambiguous_material,3,61.0,61.0,61.0
topanga,strict_soil,469961,27419575,Kayiwish,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469961,27419576,Rock outcrop,5.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469961,27419577,Pachic Argixerolls,7.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469988,27419736,Kawenga,10.0,,unavailable,ambiguous_material,6,163.0,163.0,163.0
topanga,strict_soil,469988,27419737,Mipolomol,2.0,,unavailable,ambiguous_material,2,55.0,55.0,55.0
topanga,strict_soil,469988,27419738,Sapwi,85.0,96.0,valid,bedrock_excluded,5,121.0,121.0,121.0
topanga,strict_soil,469988,27419739,Topanga,3.0,,unavailable,ambiguous_material,4,70.0,70.0,70.0
topanga,strict_soil,469990,27419624,Sapwi,20.0,96.0,valid,bedrock_excluded,5,121.0,121.0,121.0
topanga,strict_soil,469990,27419625,Kawenga,10.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469990,27419626,Mipolomol,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469990,27419627,Topanga,3.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469990,27419628,Urban land,65.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469993,27419539,Typic Haploxerepts,3.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469993,27419540,Cropley,5.0,152.0,valid,,2,152.0,152.0,152.0
topanga,strict_soil,469993,27419541,Gazos,5.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,469993,27419542,Balcom,85.0,,unavailable,ambiguous_material,3,200.0,200.0,200.0
topanga,strict_soil,469993,27419543,Urban land,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,735080,27412352,Mipolomol,30.0,,unavailable,ambiguous_material,2,55.0,55.0,55.0
topanga,strict_soil,735080,27412353,Sapwi,15.0,96.0,valid,bedrock_excluded,5,121.0,121.0,121.0
topanga,strict_soil,735080,27412354,Topanga,40.0,,unavailable,ambiguous_material,4,69.0,69.0,69.0
topanga,strict_soil,735080,27412355,Pachic Argixerolls,10.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,735080,27412356,Typic Argixerolls,3.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,735080,27412357,Rock outcrop,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,735089,27412391,Xerorthents,40.0,,unavailable,ambiguous_material,3,157.0,157.0,157.0
topanga,strict_soil,735089,27412392,Balcom,20.0,,unavailable,ambiguous_material,3,150.0,150.0,150.0
topanga,strict_soil,735089,27412393,Rock outcrop,5.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,735089,27412394,Urban land,35.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,747704,27412398,Boades,5.0,,unavailable,ambiguous_material,3,61.0,61.0,61.0
topanga,strict_soil,747704,27412399,Mipolomol,45.0,,unavailable,ambiguous_material,2,55.0,55.0,55.0
topanga,strict_soil,747704,27412400,Topanga,40.0,,unavailable,ambiguous_material,4,70.0,70.0,70.0
topanga,strict_soil,747704,27412401,Pachic Argixerolls,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,747704,27412402,Typic Palexerolls,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,747704,27412403,Pachic Argixerolls,1.0,,unavailable,missing_horizons,0,0,0.0,
topanga,strict_soil,747704,27412404,Rock outcrop,5.0,,unavailable,missing_horizons,0,0,0.0,
topanga,all_layers,456007,27412455,Typic Haploxerepts,3.0,,unavailable,missing_horizons,0,0,0.0,
topanga,all_layers,456007,27412456,Cropley,5.0,152.0,valid,,2,152.0,152.0,152.0
topanga,all_layers,456007,27412457,Gazos,5.0,,unavailable,missing_horizons,0,0,0.0,
topanga,all_layers,456007,27412458,Balcom,85.0,200.0,valid,,3,200.0,200.0,200.0
topanga,all_layers,456007,27412459,Urban land,2.0,,unavailable,missing_horizons,0,0,0.0,
topanga,all_layers,456024,27412460,Balcom,10.0,,unavailable,missing_horizons,0,0,0.0,
topanga,all_layers,456024,27412461,Millsholm,90.0,63.0,valid,,3,63.0,63.0,63.0
topanga,all_layers,456042,27412309,Unnamed,1.0,,unavailable,missing_horizons,0,0,0.0,
topanga,all_layers,456042,27412310,Rock outcrop,4.0,,unavailable,missing_horizons,0,0,0.0,
topanga,all_layers,456042,27412311,Xerorthents,45.0,177.0,valid,,2,177.0,177.0,177.0
