"SR- LS SCL"|"Yes"|"Yes"|"Stratified loamy sand to sandy clay loam"|"7928968"|"15147400"
"SL"|"No "|"Yes"|"Sandy loam"|"8200895"|"15564627"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8200896"|"15712798"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200897"|"15268284"
"SL"|"No "|"No "|"Sandy loam"|"8200897"|"15416456"
"SIC"|"No "|"No "|"Silty clay"|"8200898"|"15268285"
"C"|"No "|"No "|"Clay"|"8200898"|"15564628"
"CL"|"No "|"No "|"Clay loam"|"8200898"|"15712799"
"S"|"No "|"No "|"Sand"|"8200899"|"15416457"
"FS"|"No "|"No "|"Fine sand"|"8200899"|"15564629"
"LS"|"No "|"No "|"Loamy sand"|"8200899"|"15712800"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200900"|"15268286"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"8200900"|"15416458"
"S"|"No "|"No "|"Sand"|"8200901"|"15564630"
"FS"|"No "|"No "|"Fine sand"|"8200901"|"15712801"
"LS"|"No "|"Yes"|"Loamy sand"|"8200902"|"15268287"
"S"|"No "|"No "|"Sand"|"8200903"|"15416459"
"LS"|"No "|"No "|"Loamy sand"|"8200903"|"15564631"
"LFS"|"No "|"No "|"Loamy fine sand"|"8200903"|"15712802"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200904"|"15268288"
"SC"|"No "|"No "|"Sandy clay"|"8200904"|"15416460"
"FS"|"No "|"Yes"|"Fine sand"|"8200905"|"15564632"
"S"|"No "|"Yes"|"Sand"|"8200906"|"15712803"
"FS"|"No "|"Yes"|"Fine sand"|"8200907"|"15268289"
"VAR"|"No "|"Yes"|"Variable"|"8200908"|"15416461"
"C"|"No "|"No "|"Clay"|"8200909"|"15268290"
"SC"|"No "|"No "|"Sandy clay"|"8200909"|"15564633"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200909"|"15712804"
"SL"|"No "|"No "|"Sandy loam"|"8200910"|"15416462"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200910"|"15564634"
"SC"|"No "|"No "|"Sandy clay"|"8200910"|"15712805"
"S"|"No "|"No "|"Sand"|"8200911"|"15268291"
"FS"|"No "|"No "|"Fine sand"|"8200911"|"15416463"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"8200912"|"15564635"
"LS"|"No "|"Yes"|"Loamy sand"|"8200913"|"15712806"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"8200914"|"15268292"
"SL"|"No "|"No "|"Sandy loam"|"8200915"|"15416464"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200915"|"15564636"
"SR- SL FSL"|"Yes"|"Yes"|"Stratified sandy loam to fine sandy loam"|"8200916"|"15712807"
"LS"|"No "|"Yes"|"Loamy sand"|"8200917"|"15268293"
"SL"|"No "|"Yes"|"Sandy loam"|"8200918"|"15416465"
"L"|"No "|"Yes"|"Loam"|"8200919"|"15564637"
"LS"|"No "|"No "|"Loamy sand"|"8200920"|"15268294"
"S"|"No "|"No "|"Sand"|"8200920"|"15416466"
"FS"|"No "|"No "|"Fine sand"|"8200920"|"15712808"
"FS"|"No "|"Yes"|"Fine sand"|"8200921"|"15564638"
"MUCK"|"No "|"Yes"|"Muck"|"8200922"|"15712809"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200923"|"15268295"
"SL"|"No "|"No "|"Sandy loam"|"8200923"|"15416467"
"FSL"|"No "|"No "|"Fine sandy loam"|"8200923"|"15564639"
"CL"|"No "|"No "|"Clay loam"|"8200924"|"15268296"
"SC"|"No "|"No "|"Sandy clay"|"8200924"|"15416468"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200924"|"15712810"
"CL"|"No "|"No "|"Clay loam"|"8200925"|"15268297"
"GR-FSL"|"No "|"No "|"Gravelly fine sandy loam"|"8200925"|"15564640"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200925"|"15712811"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200926"|"15416469"
"CL"|"No "|"No "|"Clay loam"|"8200926"|"15564641"
"SC"|"No "|"No "|"Sandy clay"|"8200926"|"15712812"
"SC"|"No "|"No "|"Sandy clay"|"8200927"|"15268298"
"C"|"No "|"No "|"Clay"|"8200927"|"15416470"
"SC"|"No "|"No "|"Sandy clay"|"8200928"|"15268299"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200928"|"15564642"
"SL"|"No "|"No "|"Sandy loam"|"8200928"|"15712813"
"LS"|"No "|"Yes"|"Loamy sand"|"8200929"|"15416471"
"C"|"No "|"No "|"Clay"|"8200930"|"15268300"
"CL"|"No "|"No "|"Clay loam"|"8200930"|"15564643"
"SC"|"No "|"No "|"Sandy clay"|"8200930"|"15712814"
"SIL"|"No "|"No "|"Silt loam"|"8200931"|"15416472"
"SICL"|"No "|"No "|"Silty clay loam"|"8200931"|"15564644"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"8200931"|"15712815"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200932"|"15268301"
"SL"|"No "|"No "|"Sandy loam"|"8200932"|"15416473"
"SC"|"No "|"No "|"Sandy clay"|"8200932"|"15564645"
"CL"|"No "|"No "|"Clay loam"|"8200933"|"15268302"
"C"|"No "|"No "|"Clay"|"8200933"|"15712816"
"SR- S SCL"|"Yes"|"Yes"|"Stratified sand to sandy clay loam"|"8200934"|"15416474"
"FS"|"No "|"Yes"|"Fine sand"|"8200935"|"15564646"
"VAR"|"No "|"Yes"|"Variable"|"8200936"|"15712817"
"S"|"No "|"No "|"Sand"|"8200937"|"15268303"
"FS"|"No "|"No "|"Fine sand"|"8200937"|"15416475"
"LFS"|"No "|"No "|"Loamy fine sand"|"8200938"|"15268304"
"FSL"|"No "|"No "|"Fine sandy loam"|"8200938"|"15564647"
"S"|"No "|"No "|"Sand"|"8200938"|"15712818"
"MUCK"|"No "|"Yes"|"Muck"|"8200939"|"15416476"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8200940"|"15564648"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8200941"|"15712819"
"SIL"|"No "|"No "|"Silt loam"|"8200942"|"15268305"
"SICL"|"No "|"No "|"Silty clay loam"|"8200942"|"15416477"
"CL"|"No "|"No "|"Clay loam"|"8200942"|"15564649"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8200943"|"15712820"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"8200944"|"15268306"
"SL"|"No "|"Yes"|"Sandy loam"|"8200945"|"15416478"
"SL"|"No "|"Yes"|"Sandy loam"|"8200946"|"15564650"
"SL"|"No "|"Yes"|"Sandy loam"|"8200947"|"15712821"
"SL"|"No "|"Yes"|"Sandy loam"|"8200948"|"15268307"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"8200949"|"15416479"
"L"|"No "|"Yes"|"Loam"|"8200950"|"15564651"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"8200951"|"15268308"
"GR-L"|"No "|"No "|"Gravelly loam"|"8200951"|"15712822"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200952"|"15416480"
"CL"|"No "|"No "|"Clay loam"|"8200952"|"15564652"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200953"|"15268309"
"SL"|"No "|"No "|"Sandy loam"|"8200953"|"15712823"
"SL"|"No "|"No "|"Sandy loam"|"8200954"|"15416481"
"L"|"No "|"No "|"Loam"|"8200954"|"15564653"
"SIL"|"No "|"No "|"Silt loam"|"8200954"|"15712824"
"VAR"|"No "|"Yes"|"Variable"|"8200955"|"15268310"
"SL"|"No "|"Yes"|"Sandy loam"|"8200956"|"15416482"
"SCL"|"No "|"No "|"Sandy clay loam"|"8200957"|"15268311"
"SL"|"No "|"No "|"Sandy loam"|"8200957"|"15564654"
"FSL"|"No "|"No "|"Fine sandy loam"|"8200957"|"15712825"
"S"|"No "|"No "|"Sand"|"8200958"|"15416483"
"FS"|"No "|"No "|"Fine sand"|"8200958"|"15564655"
"CL"|"No "|"No "|"Clay loam"|"8200959"|"15268312"
"SICL"|"No "|"No "|"Silty clay loam"|"8200959"|"15416484"
"SIL"|"No "|"No "|"Silt loam"|"8200959"|"15712826"
"SL"|"No "|"Yes"|"Sandy loam"|"8200960"|"15564656"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"8200961"|"15712827"
"C"|"No "|"No "|"Clay"|"8205947"|"15418609"
"CL"|"No "|"No "|"Clay loam"|"8205947"|"15566781"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8206070"|"15418674"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8206071"|"15566846"
"SICL"|"No "|"No "|"Silty clay loam"|"8206075"|"15270504"
"SCL"|"No "|"No "|"Sandy clay loam"|"8206075"|"15566847"
"CL"|"No "|"No "|"Clay loam"|"8206075"|"15715018"
"SL"|"No "|"Yes"|"Sandy loam"|"8206076"|"15418676"
"L"|"No "|"Yes"|"Loam"|"8206077"|"15566848"
"SL"|"No "|"No "|"Sandy loam"|"8206078"|"15270505"
"FSL"|"No "|"No "|"Fine sandy loam"|"8206078"|"15418677"
"L"|"No "|"No "|"Loam"|"8206078"|"15715019"
"SL"|"No "|"No "|"Sandy loam"|"8206079"|"15270506"
"SIL"|"No "|"No "|"Silt loam"|"8206079"|"15566849"
"L"|"No "|"No "|"Loam"|"8206079"|"15715020"
"L"|"No "|"Yes"|"Loam"|"8206080"|"15418678"
"FSL"|"No "|"No "|"Fine sandy loam"|"8206089"|"15270512"
"CN-L"|"No "|"No "|"Channery loam"|"8206089"|"15566855"
"CN-FSL"|"No "|"No "|"Channery fine sandy loam"|"8206089"|"15715026"
"CN-L"|"No "|"No "|"Channery loam"|"8206090"|"15418684"
"CN-FSL"|"No "|"No "|"Channery fine sandy loam"|"8206090"|"15566856"
"CN-SIL"|"No "|"No "|"Channery silt loam"|"8206090"|"15715027"
"CN-L"|"No "|"No "|"Channery loam"|"8206091"|"15270513"
"CN-FSL"|"No "|"No "|"Channery fine sandy loam"|"8206091"|"15418685"
"CN-SIL"|"No "|"No "|"Channery silt loam"|"8206091"|"15566857"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8206092"|"15715028"
"C"|"No "|"No "|"Clay"|"8213272"|"15273796"
"CL"|"No "|"No "|"Clay loam"|"8213272"|"15421968"
"SC"|"No "|"No "|"Sandy clay"|"8213272"|"15570140"
"CL"|"No "|"No "|"Clay loam"|"8213273"|"15273797"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8213273"|"15718311"
"VAR"|"No "|"Yes"|"Variable"|"8213356"|"15570183"
"SIL"|"No "|"Yes"|"Silt loam"|"8216072"|"15275064"
"GR-SICL"|"No "|"Yes"|"Gravelly silty clay loam"|"8216073"|"15423236"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8216074"|"15275065"
"CL"|"No "|"No "|"Clay loam"|"8216074"|"15571408"
"L"|"No "|"No "|"Loam"|"8216074"|"15719579"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"8216135"|"15423266"
"SICL"|"No "|"No "|"Silty clay loam"|"8216136"|"15571438"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8216136"|"15719609"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8216137"|"15275095"
"GR-SIC"|"No "|"No "|"Gravelly silty clay"|"8216137"|"15423267"
"GR-C"|"No "|"No "|"Gravelly clay"|"8216137"|"15571439"
"SIC"|"No "|"No "|"Silty clay"|"8216138"|"15275096"
"GR-C"|"No "|"No "|"Gravelly clay"|"8216138"|"15423268"
"C"|"No "|"No "|"Clay"|"8216138"|"15719610"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8216161"|"15275107"
"SIL"|"No "|"Yes"|"Silt loam"|"8216162"|"15423279"
"SIL"|"No "|"No "|"Silt loam"|"8216163"|"15571451"
"SICL"|"No "|"No "|"Silty clay loam"|"8216163"|"15719622"
"SIC"|"No "|"No "|"Silty clay"|"8216164"|"15275108"
"CL"|"No "|"No "|"Clay loam"|"8216164"|"15423280"
"C"|"No "|"No "|"Clay"|"8216164"|"15571452"
"CN-SIL"|"No "|"No "|"Channery silt loam"|"8216210"|"15275131"
"SICL"|"No "|"No "|"Silty clay loam"|"8216210"|"15423303"
"CN-L"|"No "|"No "|"Channery loam"|"8216210"|"15719645"
"ST-L"|"No "|"No "|"Stony loam"|"8216211"|"15275132"
"ST-CL"|"No "|"No "|"Stony clay loam"|"8216211"|"15571475"
"ST-SCL"|"No "|"No "|"Stony sandy clay loam"|"8216211"|"15719646"
"SL"|"No "|"No "|"Sandy loam"|"8220564"|"15276998"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220564"|"15721512"
"SL"|"No "|"No "|"Sandy loam"|"8220565"|"15425170"
"L"|"No "|"No "|"Loam"|"8220565"|"15573342"
"SIL"|"No "|"No "|"Silt loam"|"8220565"|"15721513"
"LS"|"No "|"No "|"Loamy sand"|"8220566"|"15276999"
"SL"|"No "|"No "|"Sandy loam"|"8220566"|"15425171"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220566"|"15573343"
"SL"|"No "|"Yes"|"Sandy loam"|"8220596"|"15721528"
"LS"|"No "|"Yes"|"Loamy sand"|"8220597"|"15277014"
"SL"|"No "|"Yes"|"Sandy loam"|"8220598"|"15425186"
"SL"|"No "|"Yes"|"Sandy loam"|"8220599"|"15573358"
"SL"|"No "|"No "|"Sandy loam"|"8220679"|"15277052"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220679"|"15425224"
"SC"|"No "|"No "|"Sandy clay"|"8220679"|"15573396"
"SL"|"No "|"Yes"|"Sandy loam"|"8220680"|"15721567"
"FSL"|"No "|"No "|"Fine sandy loam"|"8220699"|"15277063"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220699"|"15573406"
"SL"|"No "|"No "|"Sandy loam"|"8220699"|"15721577"
"SL"|"No "|"No "|"Sandy loam"|"8220700"|"15425235"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220700"|"15573407"
"CL"|"No "|"No "|"Clay loam"|"8220700"|"15721578"
"SL"|"No "|"Yes"|"Sandy loam"|"8220701"|"15277064"
"SL"|"No "|"Yes"|"Sandy loam"|"8220706"|"15721581"
"L"|"No "|"No "|"Loam"|"8220707"|"15277067"
"CL"|"No "|"No "|"Clay loam"|"8220707"|"15425239"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220707"|"15573411"
"LFS"|"No "|"No "|"Loamy fine sand"|"8220716"|"15277072"
"FS"|"No "|"No "|"Fine sand"|"8220716"|"15425244"
"LS"|"No "|"No "|"Loamy sand"|"8220716"|"15721586"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"8220834"|"15277134"
"CN-SIL"|"No "|"Yes"|"Channery silt loam"|"8220835"|"15425306"
"L"|"No "|"No "|"Loam"|"8220836"|"15277135"
"SL"|"No "|"No "|"Sandy loam"|"8220836"|"15573478"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"8220836"|"15721649"
"SL"|"No "|"No "|"Sandy loam"|"8220837"|"15425307"
"L"|"No "|"No "|"Loam"|"8220837"|"15573479"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220837"|"15721650"
"FSL"|"No "|"No "|"Fine sandy loam"|"8220838"|"15277136"
"L"|"No "|"No "|"Loam"|"8220838"|"15425308"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220838"|"15573480"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"8220839"|"15277137"
"CB-C"|"No "|"No "|"Cobbly clay"|"8220839"|"15425309"
"ST-CL"|"No "|"No "|"Stony clay loam"|"8220839"|"15721651"
"C"|"No "|"No "|"Clay"|"8220874"|"15277155"
"SICL"|"No "|"No "|"Silty clay loam"|"8220874"|"15573498"
"SIC"|"No "|"No "|"Silty clay"|"8220874"|"15721669"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8220875"|"15425327"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8220875"|"15573499"
"GR-L"|"No "|"No "|"Gravelly loam"|"8220875"|"15721670"
"SIC"|"No "|"No "|"Silty clay"|"8220876"|"15277156"
"C"|"No "|"No "|"Clay"|"8220876"|"15425328"
"L"|"No "|"Yes"|"Loam"|"8220879"|"15721672"
"GR-L"|"No "|"No "|"Gravelly loam"|"8220880"|"15277158"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"8220880"|"15425330"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8220881"|"15277159"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"8220881"|"15573502"
"GR-L"|"No "|"No "|"Gravelly loam"|"8220881"|"15721673"
"SICL"|"No "|"No "|"Silty clay loam"|"8220899"|"15425338"
"CL"|"No "|"No "|"Clay loam"|"8220899"|"15573510"
"SIC"|"No "|"No "|"Silty clay"|"8220899"|"15721681"
"L"|"No "|"Yes"|"Loam"|"8220900"|"15277167"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"8220901"|"15425339"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8220960"|"15573535"
"VAR"|"No "|"Yes"|"Variable"|"8220961"|"15721706"
"SIL"|"No "|"No "|"Silt loam"|"8220962"|"15277192"
"CL"|"No "|"No "|"Clay loam"|"8220962"|"15425364"
"SICL"|"No "|"No "|"Silty clay loam"|"8220962"|"15573536"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8220963"|"15721707"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"8220984"|"15573546"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"8220985"|"15721717"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8220986"|"15277203"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220987"|"15425375"
"CL"|"No "|"No "|"Clay loam"|"8220987"|"15573547"
"L"|"No "|"No "|"Loam"|"8220987"|"15721718"
"CL"|"No "|"No "|"Clay loam"|"8220988"|"15277204"
"SCL"|"No "|"No "|"Sandy clay loam"|"8220988"|"15425376"
"SL"|"No "|"No "|"Sandy loam"|"8220988"|"15573548"
"S"|"No "|"No "|"Sand"|"8221390"|"15277388"
"LS"|"No "|"No "|"Loamy sand"|"8221390"|"15425560"
"SL"|"No "|"No "|"Sandy loam"|"8221390"|"15573732"
"MUCK"|"No "|"Yes"|"Muck"|"8221459"|"15277421"
"SL"|"No "|"No "|"Sandy loam"|"8221460"|"15425593"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221460"|"15573765"
"FSL"|"No "|"No "|"Fine sandy loam"|"8221460"|"15721936"
"S"|"No "|"No "|"Sand"|"8221463"|"15425595"
"FS"|"No "|"No "|"Fine sand"|"8221463"|"15573767"
"FS"|"No "|"Yes"|"Fine sand"|"8221464"|"15721938"
"FS"|"No "|"No "|"Fine sand"|"8221465"|"15277424"
"S"|"No "|"No "|"Sand"|"8221465"|"15425596"
"LFS"|"No "|"No "|"Loamy fine sand"|"8221465"|"15573768"
"FS"|"No "|"No "|"Fine sand"|"8221466"|"15277425"
"S"|"No "|"No "|"Sand"|"8221466"|"15721939"
"FS"|"No "|"No "|"Fine sand"|"8221467"|"15425597"
"S"|"No "|"No "|"Sand"|"8221467"|"15573769"
"LFS"|"No "|"No "|"Loamy fine sand"|"8221467"|"15721940"
"C"|"No "|"Yes"|"Clay"|"8221468"|"15277426"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"8221472"|"15277427"
"FS"|"No "|"No "|"Fine sand"|"8221473"|"15425599"
"S"|"No "|"No "|"Sand"|"8221473"|"15573771"
"GR-FSL"|"No "|"No "|"Gravelly fine sandy loam"|"8221597"|"15277487"
"GR-L"|"No "|"No "|"Gravelly loam"|"8221597"|"15425659"
"FSL"|"No "|"No "|"Fine sandy loam"|"8221597"|"15722001"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"8221598"|"15277488"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8221598"|"15573831"
"GR-L"|"No "|"No "|"Gravelly loam"|"8221598"|"15722002"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"8221599"|"15425660"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8221600"|"15573832"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"8221601"|"15722003"
"GR-SICL"|"No "|"Yes"|"Gravelly silty clay loam"|"8221602"|"15277489"
"CL"|"No "|"No "|"Clay loam"|"8221603"|"15425661"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221603"|"15573833"
"GR-C"|"No "|"No "|"Gravelly clay"|"8221604"|"15277490"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8221604"|"15722004"
"SIL"|"No "|"Yes"|"Silt loam"|"8221605"|"15425662"
"CL"|"No "|"No "|"Clay loam"|"8221606"|"15573834"
"L"|"No "|"No "|"Loam"|"8221606"|"15722005"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8221607"|"15277491"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8221607"|"15425663"
"GR-L"|"No "|"No "|"Gravelly loam"|"8221607"|"15573835"
"CL"|"No "|"No "|"Clay loam"|"8221608"|"15277492"
"SIL"|"No "|"No "|"Silt loam"|"8221608"|"15425664"
"SICL"|"No "|"No "|"Silty clay loam"|"8221608"|"15722006"
"C"|"No "|"No "|"Clay"|"8221609"|"15277493"
"CL"|"No "|"No "|"Clay loam"|"8221609"|"15573836"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221609"|"15722007"
"SIL"|"No "|"Yes"|"Silt loam"|"8221610"|"15425665"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"8221611"|"15573837"
"SIC"|"No "|"No "|"Silty clay"|"8221612"|"15277494"
"SICL"|"No "|"No "|"Silty clay loam"|"8221612"|"15425666"
"C"|"No "|"No "|"Clay"|"8221612"|"15722008"
"CL"|"No "|"No "|"Clay loam"|"8221613"|"15277495"
"SIL"|"No "|"No "|"Silt loam"|"8221613"|"15573838"
"SICL"|"No "|"No "|"Silty clay loam"|"8221613"|"15722009"
"C"|"No "|"Yes"|"Clay"|"8221614"|"15425667"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8221615"|"15277496"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"8221615"|"15573839"
"GR-L"|"No "|"No "|"Gravelly loam"|"8221615"|"15722010"
"SICL"|"No "|"No "|"Silty clay loam"|"8221616"|"15425668"
"SIC"|"No "|"No "|"Silty clay"|"8221616"|"15573840"
"L"|"No "|"No "|"Loam"|"8221617"|"15277497"
"SL"|"No "|"No "|"Sandy loam"|"8221617"|"15425669"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221617"|"15722011"
"SIL"|"No "|"No "|"Silt loam"|"8221618"|"15277498"
"SICL"|"No "|"No "|"Silty clay loam"|"8221618"|"15573841"
"CL"|"No "|"No "|"Clay loam"|"8221618"|"15722012"
"C"|"No "|"No "|"Clay"|"8221619"|"15425670"
"CL"|"No "|"No "|"Clay loam"|"8221619"|"15573842"
"CBV-CL"|"No "|"No "|"Very cobbly clay loam"|"8221620"|"15277499"
"CB-CL"|"No "|"No "|"Cobbly clay loam"|"8221620"|"15722013"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8221621"|"15425671"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8221622"|"15573843"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8221623"|"15722014"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221624"|"15277500"
"CL"|"No "|"No "|"Clay loam"|"8221624"|"15425672"
"SC"|"No "|"No "|"Sandy clay"|"8221625"|"15277501"
"C"|"No "|"No "|"Clay"|"8221625"|"15573844"
"CL"|"No "|"No "|"Clay loam"|"8221625"|"15722015"
"CL"|"No "|"No "|"Clay loam"|"8221626"|"15425673"
"C"|"No "|"No "|"Clay"|"8221626"|"15573845"
"CL"|"No "|"No "|"Clay loam"|"8221627"|"15277502"
"SC"|"No "|"No "|"Sandy clay"|"8221627"|"15425674"
"C"|"No "|"No "|"Clay"|"8221627"|"15722016"
"CL"|"No "|"No "|"Clay loam"|"8221628"|"15277503"
"SIL"|"No "|"No "|"Silt loam"|"8221628"|"15573846"
"SICL"|"No "|"No "|"Silty clay loam"|"8221628"|"15722017"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"8221629"|"15425675"
"SL"|"No "|"Yes"|"Sandy loam"|"8221630"|"15573847"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8221631"|"15722018"
"L"|"No "|"Yes"|"Loam"|"8221632"|"15277504"
"CN-SL"|"No "|"No "|"Channery sandy loam"|"8221633"|"15425676"
"CN-L"|"No "|"No "|"Channery loam"|"8221633"|"15573848"
"CNV-SL"|"No "|"No "|"Very channery sandy loam"|"8221633"|"15722019"
"C"|"No "|"No "|"Clay"|"8221634"|"15277505"
"CL"|"No "|"No "|"Clay loam"|"8221634"|"15425677"
"SC"|"No "|"No "|"Sandy clay"|"8221634"|"15573849"
"ST-SL"|"No "|"No "|"Stony sandy loam"|"8221635"|"15277506"
"ST-FSL"|"No "|"No "|"Stony fine sandy loam"|"8221635"|"15425678"
"ST-L"|"No "|"No "|"Stony loam"|"8221635"|"15722020"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221636"|"15277507"
"SL"|"No "|"No "|"Sandy loam"|"8221636"|"15573850"
"L"|"No "|"No "|"Loam"|"8221636"|"15722021"
"L"|"No "|"No "|"Loam"|"8221637"|"15425679"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221637"|"15573851"
"CL"|"No "|"No "|"Clay loam"|"8221637"|"15722022"
"C"|"No "|"No "|"Clay"|"8221638"|"15277508"
"CL"|"No "|"No "|"Clay loam"|"8221638"|"15425680"
"SL"|"No "|"No "|"Sandy loam"|"8221639"|"15277509"
"CL"|"No "|"No "|"Clay loam"|"8221639"|"15573852"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221639"|"15722023"
"CNV-L"|"No "|"No "|"Very channery loam"|"8221640"|"15425681"
"CN-L"|"No "|"No "|"Channery loam"|"8221640"|"15573853"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221641"|"15277510"
"CL"|"No "|"No "|"Clay loam"|"8221641"|"15425682"
"L"|"No "|"No "|"Loam"|"8221641"|"15722024"
"GRV-CL"|"No "|"Yes"|"Very gravelly clay loam"|"8221642"|"15573854"
"GR-FSL"|"No "|"No "|"Gravelly fine sandy loam"|"8221643"|"15277511"
"CB-FSL"|"No "|"No "|"Cobbly fine sandy loam"|"8221643"|"15425683"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"8221643"|"15722025"
"SL"|"No "|"Yes"|"Sandy loam"|"8221644"|"15573855"
"VAR"|"No "|"Yes"|"Variable"|"8221645"|"15722026"
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|"8221646"|"15277512"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8221647"|"15425684"
"CL"|"No "|"Yes"|"Clay loam"|"8221648"|"15573856"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221649"|"15277513"
"CL"|"No "|"No "|"Clay loam"|"8221649"|"15722027"
"CL"|"No "|"No "|"Clay loam"|"8221650"|"15425685"
"C"|"No "|"No "|"Clay"|"8221650"|"15573857"
"SCL"|"No "|"No "|"Sandy clay loam"|"8221650"|"15722028"
"C"|"No "|"Yes"|"Clay"|"8221651"|"15277514"
"C"|"No "|"No "|"Clay"|"8221652"|"15425686"
"SIC"|"No "|"No "|"Silty clay"|"8221652"|"15573858"
"SICL"|"No "|"No "|"Silty clay loam"|"8221652"|"15722029"
"SC"|"No "|"No "|"Sandy clay"|"8221653"|"15277515"
"CL"|"No "|"No "|"Clay loam"|"8221653"|"15425687"
