runid,config,wepp_id,family_primary,family_secondary,family_tertiary,family_rationale,cluster_label,rule_cluster_agreement
ordained-incentive,disturbed9002-wbt-mofe,204,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,213,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,219,D3,D6a,,D3: soilwater_to_porosity_fraction_p99=0.999>=0.990.,0,agree
ordained-incentive,disturbed9002-wbt-mofe,221,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,224,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,249,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,257,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,273,D3,D6a,,D3: soilwater_to_porosity_fraction_p99=0.999>=0.990.,0,agree
ordained-incentive,disturbed9002-wbt-mofe,276,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,284,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,288,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,289,D6b,D6a,,"D6a: requires_scientific_review_days=3<=3 and late_max_abs_ofe_closure_residual_mm_max_abs in [100.000,500.000). Sparse-family merge: D6a population<3; reassigned to D6b.",0,disagree
