site,comparison,outlet,duration_min,F,S,reference_probability,rain_mm,probability30,probability_change_pp,threshold10_mm_h,threshold30_mm_h,threshold_change_mm_h,threshold_change_pct
moscow_mountain,controlled,terminal,30,0.25,0.75,0.25,7.224350757741736,0.2497515542924473,-0.02484457075526969,14.448701515483473,14.455820870838334,0.007119355354861412,0.04927332291577713
moscow_mountain,controlled,terminal,30,0.25,0.75,0.5,10.173298056076606,0.4995333653273273,-0.04666346726727166,20.34659611215321,20.356621556157922,0.010025444004710948,0.04927332291577713
moscow_mountain,controlled,terminal,30,0.25,0.75,0.75,13.122245354411476,0.7495483042023496,-0.04516957976503644,26.24449070882295,26.257422241477506,0.012931532654555156,0.049273322915754925
moscow_mountain,controlled,terminal,30,0.75,0.25,0.25,9.359919769877266,0.2496781435390132,-0.03218564609868135,18.71983953975453,18.731791813670586,0.011952273916055134,0.06384816435349716
moscow_mountain,controlled,terminal,30,0.75,0.25,0.5,13.180596678239171,0.4993954249476502,-0.060457505234978726,26.361193356478342,26.378024494538135,0.01683113805979275,0.06384816435351937
moscow_mountain,controlled,terminal,30,0.75,0.25,0.75,17.001273586601076,0.7494146757254971,-0.058532427450286306,34.00254717320215,34.02425717540568,0.021710002203526813,0.06384816435351937
moscow_mountain,controlled,terminal,30,0.75,0.75,0.25,5.756438672324172,0.24980202251077838,-0.01979774892216235,11.512877344648343,11.517397020712565,0.004519676064221656,0.03925757157763332
moscow_mountain,controlled,terminal,30,0.75,0.75,0.5,8.106190897822021,0.4996281805451558,-0.03718194548442133,16.212381795644042,16.21874638303191,0.006364587387867715,0.039257571577655526
moscow_mountain,controlled,terminal,30,0.75,0.75,0.75,10.455943123319871,0.7496401280124705,-0.03598719875295142,20.911886246639742,20.920095745351258,0.00820949871151555,0.03925757157767773
moscow_mountain,controlled,terminal,60,0.25,0.25,0.25,22.131939160461258,0.24949276320464472,-0.05072367953552759,22.131939160461258,22.157340340490652,0.02540118002939451,0.11477159703554562
moscow_mountain,controlled,terminal,60,0.25,0.25,0.5,32.42860506460611,0.49900836510249863,-0.099163489750137,32.42860506460611,32.465823892535106,0.03721882792899578,0.11477159703554562
moscow_mountain,controlled,terminal,60,0.25,0.25,0.75,42.72527096875096,0.7490188464505806,-0.09811535494194112,42.72527096875096,42.774307444579556,0.049036475828593495,0.11477159703552342
moscow_mountain,controlled,terminal,60,0.25,0.75,0.25,12.00527014706095,0.24972476869977822,-0.027523130022177877,12.00527014706095,12.012740322862589,0.007470175801639556,0.06222413748404598
moscow_mountain,controlled,terminal,60,0.25,0.75,0.5,17.590603402184275,0.4994620961244557,-0.053790387554430996,17.590603402184275,17.601549003429525,0.010945601245250458,0.06222413748406819
moscow_mountain,controlled,terminal,60,0.25,0.75,0.75,23.175936657307602,0.7494680996645373,-0.05319003354626872,23.175936657307602,23.190357683996464,0.01442102668886136,0.06222413748406819
moscow_mountain,controlled,terminal,60,0.75,0.25,0.25,15.069873181180762,0.24965454239703386,-0.03454576029661427,15.069873181180762,15.081645855569917,0.011772674389154858,0.07812059363483392
moscow_mountain,controlled,terminal,60,0.75,0.25,0.5,22.080982702106127,0.4993247847579902,-0.06752152420098079,22.080982702106127,22.098232496873415,0.01724979476728805,0.07812059363483392
moscow_mountain,controlled,terminal,60,0.75,0.25,0.75,29.09209222303149,0.7493322000406879,-0.06677999593120987,29.09209222303149,29.114819138176912,0.02272691514542302,0.07812059363483392
moscow_mountain,controlled,terminal,60,0.75,0.75,0.25,9.572058052493153,0.24978053587387755,-0.021946412612244837,9.572058052493153,9.576806403642028,0.004748351148874619,0.04960637642223986
moscow_mountain,controlled,terminal,60,0.75,0.75,0.5,14.02536343468395,0.49957111770215173,-0.04288822978482654,14.02536343468395,14.032320909263946,0.006957474579996514,0.04960637642223986
moscow_mountain,controlled,terminal,60,0.75,0.75,0.75,18.478668816874748,0.7495759653601713,-0.04240346398286521,18.478668816874748,18.487835414885865,0.009166598011116633,0.04960637642223986
moscow_mountain,controlled,nested_20000,15,0.25,0.25,0.25,7.254488591729039,0.2278482375565149,-2.21517624434851,29.017954366916157,30.4387105740483,1.4207562071321433,4.896128063224103
moscow_mountain,controlled,nested_20000,15,0.25,0.25,0.5,10.30645604960271,0.4568159018427609,-4.3184098157239115,41.22582419841084,43.244293346284664,2.018469147873823,4.896128063224103
moscow_mountain,controlled,nested_20000,15,0.25,0.25,0.75,13.358423507476383,0.7056117467402921,-4.438825325970786,53.43369402990553,56.049876118521034,2.6161820886155027,4.896128063224103
moscow_mountain,controlled,nested_20000,15,0.25,0.75,0.25,4.389118934584386,0.23642907685188344,-1.357092314811656,17.556475738337543,18.066677737666595,0.5102019993290519,2.906061597629983
moscow_mountain,controlled,nested_20000,15,0.25,0.75,0.5,6.235623755387477,0.4738313832260241,-2.6168616773975915,24.94249502154991,25.667339290861943,0.7248442693120332,2.906061597629983
moscow_mountain,controlled,nested_20000,15,0.25,0.75,0.75,8.08212857619057,0.7236855284878465,-2.6314471512153492,32.32851430476228,33.26800084405729,0.9394865392950109,2.906061597629983
moscow_mountain,controlled,nested_20000,15,0.75,0.25,0.25,4.974369856152453,0.23465846808010862,-1.5341531919891378,19.897479424609813,20.555364077391083,0.6578846527812701,3.3063718209834114
moscow_mountain,controlled,nested_20000,15,0.75,0.25,0.5,7.067090071015543,0.47034973021345994,-2.965026978654006,28.268360284062172,29.203017382748467,0.9346570986862943,3.306371820983389
moscow_mountain,controlled,nested_20000,15,0.75,0.25,0.75,9.159810285878633,0.7200501253866373,-2.9949874613362737,36.63924114351453,37.85067068810585,1.2114295445913186,3.306371820983389
