year,julian,month,day_of_month,Suct_mean_mm,Saturation_mean,TSW_mean_mm
1986,342,12,8,4.925151515151512,0.5616161616161618,23.794545454545442
1986,353,12,19,5.625656565656565,0.566767676767677,23.896363636363642
1986,357,12,23,5.594040404040403,0.5638383838383847,23.77232323232323
1986,358,12,24,5.603232323232321,0.5582828282828288,23.533636363636354
1986,362,12,28,5.663131313131312,0.5589898989898997,23.634040404040412
1986,363,12,29,5.673939393939392,0.557272727272728,23.554848484848478
1986,364,12,30,5.690707070707069,0.5566666666666674,23.522222222222215
1987,3,1,3,5.737575757575757,0.5593939393939399,23.768181818181812
1987,7,1,7,3.3399999999999963,0.6748484848484847,28.57575757575758
1987,8,1,8,3.395151515151512,0.6929292929292931,29.34686868686867
1987,9,1,9,3.2751515151515114,0.6933333333333338,29.3751515151515
1987,10,1,10,3.4472727272727224,0.6896969696969693,29.11616161616162
1987,11,1,11,3.6892929292929253,0.6925252525252522,29.24323232323234
1987,12,1,12,3.7499999999999964,0.694242424242424,29.32646464646466
1987,13,1,13,3.7606060606060563,0.7017171717171723,29.718888888888916
1987,14,1,14,3.766161616161612,0.700101010101011,29.536969696969685
1987,16,1,16,3.7803030303030263,0.6995959595959605,29.506666666666664
1987,17,1,17,3.7878787878787827,0.6989898989899,29.53252525252526
1987,20,1,20,3.7959595959595913,0.6729292929292932,28.45191919191921
1987,22,1,22,3.802626262626259,0.6583838383838388,27.792121212121216
1987,23,1,23,3.9060606060606013,0.6488888888888893,27.373939393939395
1987,24,1,24,4.036565656565652,0.6398989898989903,27.004949494949493
1987,25,1,25,4.190808080808076,0.6265656565656568,26.522727272727295
1987,26,1,26,4.3594949494949455,0.6142424242424244,25.92121212121213
1987,27,1,27,4.552525252525249,0.6109090909090914,25.84464646464647
1987,35,2,4,5.233131313131309,0.562121212121213,23.785858585858588
1987,41,2,10,4.793434343434343,0.5666666666666667,23.96757575757577
1987,42,2,11,5.019696969696965,0.5610101010101014,23.671717171717173
1987,43,2,12,5.3539393939393936,0.6067676767676763,25.630808080808055
1987,44,2,13,4.509898989898989,0.653131313131313,27.62464646464647
1987,45,2,14,3.789393939393937,0.6088888888888886,25.743636363636366
1987,46,2,15,4.405050505050502,0.6313131313131313,26.771717171717167
1987,47,2,16,3.9702020202020165,0.5864646464646469,24.787575757575766
1987,48,2,17,4.77464646464646,0.5703030303030306,24.066868686868684
1987,50,2,19,5.283838383838382,0.540303030303031,22.852525252525243
1987,51,2,20,5.478686868686866,0.5309090909090913,22.45404040404039
1987,52,2,21,5.649797979797978,0.5211111111111117,22.021414141414137
1987,54,2,23,5.88919191919192,0.5231313131313132,22.045757575757573
1987,57,2,26,5.2162626262626235,0.536767676767677,22.630808080808073
1987,59,2,28,5.792626262626263,0.5240404040404042,22.131010101010098
1987,60,3,1,5.886060606060604,0.5195959595959598,21.965555555555547
1987,61,3,2,5.968686868686866,0.5163636363636365,21.779494949494943
1987,62,3,3,6.041010101010099,0.5132323232323236,21.617373737373736
1987,70,3,11,6.028989898989899,0.5020202020202019,21.20202020202019
1987,73,3,14,6.210505050505045,0.4527272727272724,19.093434343434318
1987,75,3,16,6.149393939393937,0.447373737373737,18.849494949494936
1987,232,8,20,8.2140404040404,0.3618181818181815,15.188787878787863
1987,287,10,14,7.871616161616156,0.39565656565656565,16.653131313131297
1987,294,10,21,7.525858585858586,0.4270707070707071,18.03242424242423
1987,304,10,31,5.059292929292928,0.5705050505050508,24.12828282828283
1987,313,11,9,0.4445454545454557,0.9348484848484843,39.693939393939345
1987,319,11,15,0.34,0.9405050505050492,39.73505050505045
1987,328,11,24,0.34,0.9320202020202006,39.49838383838381
1987,329,11,25,0.3411111111111112,0.9319191919191913,39.554040404040435
1987,334,11,30,0.4232323232323241,0.9450505050505039,40.10121212121215
1987,342,12,8,0.3563636363636366,0.9535353535353521,40.258585858585924
1987,353,12,19,0.34,0.9706060606060598,41.04707070707079
1987,357,12,23,0.34,0.9608080808080792,40.78232323232317
1987,358,12,24,0.34,0.9706060606060598,40.952424242424236
1987,362,12,28,0.34,0.9801010101010106,41.48565656565652
1987,363,12,29,0.34,0.9699999999999992,40.93101010101013
1987,364,12,30,0.34,0.9706060606060598,40.918888888888944
1991,3,1,3,5.4926262626262625,0.5852525252525258,24.753333333333323
1991,7,1,7,4.9304040404040395,0.5710101010101016,24.122828282828287
1991,8,1,8,5.3693939393939365,0.6127272727272735,25.903434343434345
1991,9,1,9,4.596666666666665,0.6079797979797975,25.726262626262624
1991,10,1,10,4.672727272727269,0.5835353535353538,24.687474747474756
1991,11,1,11,5.128787878787876,0.5620202020202024,23.794040404040395
1991,12,1,12,5.502323232323232,0.5476767676767683,23.098686868686872
1991,13,1,13,5.7495959595959585,0.5368686868686873,22.625151515151515
1991,14,1,14,5.866969696969695,0.5272727272727276,22.24272727272726
1991,16,1,16,6.037878787878789,0.5198989898989902,21.903333333333325
1991,17,1,17,6.111818181818183,0.5158585858585862,21.731111111111105
1991,20,1,20,6.17737373737374,0.5204040404040411,21.97979797979796
1991,22,1,22,6.246565656565658,0.5140404040404044,21.682424242424233
1991,23,1,23,6.2852525252525275,0.5155555555555562,21.71323232323231
1991,24,1,24,6.325656565656568,0.5152525252525261,21.769191919191908
1991,25,1,25,6.347272727272729,0.5184848484848492,21.837676767676758
1991,26,1,26,6.354646464646465,0.516262626262627,21.808686868686845
1991,27,1,27,6.353838383838384,0.5193939393939403,21.87858585858585
1991,35,2,4,6.394242424242426,0.5112121212121217,21.60383838383837
1991,41,2,10,6.47737373737374,0.5003030303030307,21.1330303030303
1991,42,2,11,6.481111111111114,0.5031313131313135,21.191919191919183
1991,43,2,12,6.480606060606063,0.49929292929292957,21.02292929292928
1991,44,2,13,6.494545454545455,0.49707070707070744,20.935656565656554
1991,45,2,14,6.515252525252526,0.4911111111111118,20.704848484848473
1991,46,2,15,6.5385858585858605,0.49353535353535394,20.77929292929291
1991,47,2,16,6.569797979797981,0.4924242424242429,20.73747474747473
1991,48,2,17,6.605353535353539,0.4888888888888892,20.58101010101009
1991,50,2,19,6.680505050505053,0.47626262626262644,20.11959595959595
1991,51,2,20,6.742929292929294,0.4735353535353541,19.940404040404022
1991,52,2,21,6.812020202020203,0.4696969696969702,19.811111111111096
1991,54,2,23,6.91050505050505,0.4696969696969699,19.823535353535345
1991,57,2,26,6.9531313131313155,0.5119191919191921,21.637373737373732
1991,59,2,28,5.411616161616159,0.5468686868686865,23.160202020202032
1991,60,3,1,4.873232323232322,0.5731313131313133,24.21555555555556
1991,61,3,2,4.256565656565654,0.6664646464646468,28.185252525252523
1991,62,3,3,3.0062626262626257,0.6423232323232321,27.18353535353536
1991,70,3,11,0.9309090909090938,0.7977777777777784,33.679090909090924
1991,73,3,14,0.8870707070707096,0.7047474747474745,29.81191919191918
1991,75,3,16,1.6647474747474753,0.7764646464646467,32.81565656565657
1991,232,8,20,7.905959595959596,0.37696969696969673,15.853434343434328
1991,287,10,14,7.702121212121219,0.4086868686868681,17.231111111111098
