ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
SimFire4.2fA2p.2b.obs_cli_Watershed_20,SimFire4.2fA2p.2b.obs,Watershed_20,877.52,8733199.0,995.2136703436959,5048603.0,575.326260370134,5965.0,6797.565867444617,196.8,224.26839274318536,1252.2,1426.9760233384995,0.203,1029.8,1.1735345063360378,0.40270000000000006,504.2609400000001,574.6432445984138
SimFire4.2fA2p.2b.fut_cli_Watershed_1,SimFire4.2fA2p.2b.fut,Watershed_1,262.83,2545386.0,968.4533729026367,1226964.0,466.8279876726401,190.5,724.8031046684168,13.8,52.50542175550736,90.1,342.8071376935662,0.441,78.5,0.29867214549328464,0.46299999999999997,41.7163,158.71970475212115
SimFire4.2fA2p.2b.fut_cli_Watershed_2,SimFire4.2fA2p.2b.fut,Watershed_2,110.68,1071907.0,968.47397903867,482285.0,435.74719913263465,19.3,174.37658113480302,2.4,21.684134441633535,19.2,173.47307553306828,0.884,17.7,0.15992049150704732,0.2013,3.86496,34.920130104806645
SimFire4.2fA2p.2b.fut_cli_Watershed_3,SimFire4.2fA2p.2b.fut,Watershed_3,188.22,2203387.0,1170.6444586122623,1121338.0,595.7592179364574,77.4,411.22091169907554,6.9,36.65922856232069,49.0,260.33365210923387,0.581,44.8,0.23801933907129952,0.4667,22.8683,121.49771543937946
SimFire4.2fA2p.2b.fut_cli_Watershed_4,SimFire4.2fA2p.2b.fut,Watershed_4,1345.08,15745903.0,1170.6294792874774,8344680.0,620.3854045856009,2090.5,1554.1826508460465,651.7,484.5064977547804,1225.2,910.8751895798019,0.447,2536096.9,1885.4617569215213,0.5969,731.32188,543.7014006601838
SimFire4.2fA2p.2b.fut_cli_Watershed_5,SimFire4.2fA2p.2b.fut,Watershed_5,268.63,3144627.0,1170.616461303652,1722186.0,641.0996537989056,310.2,1154.7481666232363,7.3,27.17492461750363,136.0,506.272568216506,0.428,117.2,0.43628783084540074,0.3508,47.7088,177.6004169303503
SimFire4.2fA2p.2b.fut_cli_Watershed_6,SimFire4.2fA2p.2b.fut,Watershed_6,122.51,1434095.0,1170.594237205126,811999.0,662.8022202269202,125.5,1024.4061709248224,3.0,24.487796914537586,55.4,452.2079830217941,0.431,48.6,0.39670231001550893,0.3648,20.20992,164.9654722063505
SimFire4.2fA2p.2b.fut_cli_Watershed_7_Ward,SimFire4.2fA2p.2b.fut,Watershed_7_Ward,2314.23,47261782.0,2042.224930106342,31081334.0,1343.052937694179,107535.6,46467.11865285646,45977.0,19867.083219904678,9541.4,4122.926416129771,0.062,7779.7,3.3616796947580836,0.5033,4802.1866199999995,2075.068865238113
SimFire4.2fA2p.2b.fut_cli_Watershed_8,SimFire4.2fA2p.2b.fut,Watershed_8,160.26,2278195.0,1421.5618370148509,1280774.0,799.1850742543367,241.0,1503.8063147385499,14.1,87.98202920254587,138.4,863.5966554349183,0.543,116.8,0.7288156745288906,0.41480000000000006,57.40832000000001,358.21989267440415
SimFire4.2fA2p.2b.fut_cli_Watershed_9_Blackwood,SimFire4.2fA2p.2b.fut,Watershed_9_Blackwood,2671.07,55831750.0,2090.239117656969,38724098.0,1449.7597591976248,337563.6,126377.66887427134,176111.9,65933.09048433774,18668.6,6989.184109738793,0.036,15114.2,5.658481432534527,0.5576,10409.611359999999,3897.169059590351
SimFire4.2fA2p.2b.fut_cli_Watershed_10,SimFire4.2fA2p.2b.fut,Watershed_10,1309.41,22189929.0,1694.6509496643525,14049442.0,1072.9597299547124,24509.3,18717.81947594718,4565.4,3486.6084725181568,2337.7,1785.3078867581582,0.08,1951.1,1.4900604088864449,0.48760000000000003,1139.86252,870.5161255832779
SimFire4.2fA2p.2b.fut_cli_Watershed_11_General,SimFire4.2fA2p.2b.fut,Watershed_11_General,1819.7,26939590.0,1480.4412815299224,16860560.0,926.5571248007914,16730.0,9193.823157663352,13202.7,7255.426718689894,1224.1,672.6933010935868,0.041,1067.4,0.5865802055283839,0.5913999999999999,723.9327399999999,397.8308182667472
SimFire4.2fA2p.2b.fut_cli_Watershed_12_Meeks,SimFire4.2fA2p.2b.fut,Watershed_12_Meeks,1981.45,21910635.0,1105.7879330793105,11315389.0,571.0660879658835,14366.8,7250.649776678695,4765.9,2405.258775139418,481.9,243.20573317519998,0.025,24780.8,12.50639683060385,0.4959,238.97421,120.60572308158166
SimFire4.2fA2p.2b.fut_cli_Watershed_13,SimFire4.2fA2p.2b.fut,Watershed_13,211.44,2338062.0,1105.7803632236096,1348070.0,637.5662126371548,769.0,3636.9655694286794,3.2,15.13431706394249,289.9,1371.07453651154,0.375,239.6,1.1331819901626938,0.37439999999999996,108.53855999999998,513.3303064699204
SimFire4.2fA2p.2b.fut_cli_Watershed_14,SimFire4.2fA2p.2b.fut,Watershed_14,246.15,2721934.0,1105.8029656713386,1585896.0,644.2803168799512,886.3,3600.650010156409,5.2,21.125330083282552,726.5,2951.4523664432254,0.815,590.3,2.398131220800325,0.0749,54.414849999999994,221.06378224659755
SimFire4.2fA2p.2b.fut_cli_Watershed_15,SimFire4.2fA2p.2b.fut,Watershed_15,149.32,1584104.0,1060.8786498794536,914744.0,612.6064827216716,1024.4,6860.433967318511,2.5,16.74256630056255,594.8,3983.3913742298423,0.579,481.3,3.2232788641843024,0.0738,43.89624,293.9742834181623
SimFire4.2fA2p.2b.fut_cli_Watershed_16,SimFire4.2fA2p.2b.fut,Watershed_16,295.18,3131486.0,1060.8733654041603,1770657.0,599.8566976082391,1947.0,6595.975337082458,7.4,25.069449149671385,693.6,2349.752693271902,0.355,565.3,1.9151026492309775,0.1182,81.98352,277.7407683447388
SimFire4.2fA2p.2b.fut_cli_Watershed_17,SimFire4.2fA2p.2b.fut,Watershed_17,386.9,4104609.0,1060.8966141121737,2294482.0,593.0426466787284,4807.2,12424.915998966142,380.3,982.9413285086587,1176.1,3039.80356681313,0.227,954.4,2.4667872835357976,0.41309999999999997,485.8469099999999,1255.7428534505038
SimFire4.2fA2p.2b.fut_cli_Watershed_18,SimFire4.2fA2p.2b.fut,Watershed_18,1647.08,29719187.0,1804.3560118512762,18752240.0,1138.5142191028972,47595.8,28897.078466134008,635.0,385.5307574616898,3908.7,2373.108774315759,0.081,1087383.0,660.1883332928577,0.3268,1277.3631599999999,775.53194744639
